iter 00001 | success 0.008 | cost 24.9 | energy 70.7 | actor_loss -0.01872 | energy_loss 372.84265 | reach_loss 83250.88057 | entropy 4.2568 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 22.26s
iter 00020 | success 0.006 | cost 37.9 | energy 115.4 | actor_loss -0.07500 | energy_loss 356.85757 | reach_loss 81075.27549 | entropy 4.2568 | gamma_reach 0.999025 | ent_coef 0.01000 | elapsed 24.54s
iter 00021 | success 0.008 | cost 19.8 | energy 80.4 | actor_loss -0.07367 | energy_loss 324.43068 | reach_loss 80383.30156 | entropy 4.2568 | gamma_reach 0.999026 | ent_coef 0.01000 | elapsed 24.65s
iter 00022 | success 0.011 | cost 43.1 | energy 97.4 | actor_loss -0.07171 | energy_loss 307.74632 | reach_loss 79930.66055 | entropy 4.2568 | gamma_reach 0.999028 | ent_coef 0.01000 | elapsed 24.63s
iter 00023 | success 0.011 | cost 37.0 | energy 138.0 | actor_loss -0.07036 | energy_loss 340.52694 | reach_loss 80562.36270 | entropy 4.2568 | gamma_reach 0.999029 | ent_coef 0.01000 | elapsed 24.64s
iter 00024 | success 0.014 | cost 61.8 | energy 164.0 | actor_loss -0.06937 | energy_loss 382.88581 | reach_loss 79482.65088 | entropy 4.2568 | gamma_reach 0.999030 | ent_coef 0.01000 | elapsed 24.59s
iter 00025 | success 0.014 | cost 66.7 | energy 214.5 | actor_loss -0.06771 | energy_loss 399.68531 | reach_loss 76169.19687 | entropy 4.2568 | gamma_reach 0.999032 | ent_coef 0.01000 | elapsed 24.55s
iter 00026 | success 0.013 | cost 39.5 | energy 148.5 | actor_loss -0.06748 | energy_loss 429.60174 | reach_loss 78848.42129 | entropy 4.2568 | gamma_reach 0.999033 | ent_coef 0.01000 | elapsed 24.44s
iter 00027 | success 0.010 | cost 33.8 | energy 94.2 | actor_loss -0.05740 | energy_loss 426.70223 | reach_loss 77746.34512 | entropy 4.2568 | gamma_reach 0.999034 | ent_coef 0.01000 | elapsed 24.62s
iter 00028 | success 0.010 | cost 23.1 | energy 67.4 | actor_loss -0.06643 | energy_loss 341.65570 | reach_loss 77864.02354 | entropy 4.2568 | gamma_reach 0.999036 | ent_coef 0.01000 | elapsed 24.57s
iter 00029 | success 0.008 | cost 16.9 | energy 66.5 | actor_loss -0.06529 | energy_loss 360.01664 | reach_loss 77889.23896 | entropy 4.2568 | gamma_reach 0.999037 | ent_coef 0.01000 | elapsed 25.10s
iter 00030 | success 0.009 | cost 15.5 | energy 53.5 | actor_loss -0.06605 | energy_loss 341.90654 | reach_loss 75982.39375 | entropy 4.2568 | gamma_reach 0.999038 | ent_coef 0.01000 | elapsed 25.10s
iter 00031 | success 0.008 | cost 37.8 | energy 86.2 | actor_loss -0.06497 | energy_loss 368.28456 | reach_loss 76770.94365 | entropy 4.2568 | gamma_reach 0.999040 | ent_coef 0.01000 | elapsed 25.71s
iter 00032 | success 0.010 | cost 25.7 | energy 100.3 | actor_loss -0.06571 | energy_loss 403.44341 | reach_loss 75591.31934 | entropy 4.2568 | gamma_reach 0.999041 | ent_coef 0.01000 | elapsed 26.34s
iter 00033 | success 0.007 | cost 23.8 | energy 83.3 | actor_loss -0.06353 | energy_loss 436.03221 | reach_loss 78015.44668 | entropy 4.2568 | gamma_reach 0.999042 | ent_coef 0.01000 | elapsed 26.04s
iter 00034 | success 0.009 | cost 50.3 | energy 120.5 | actor_loss -0.06419 | energy_loss 505.07229 | reach_loss 76817.39600 | entropy 4.2568 | gamma_reach 0.999044 | ent_coef 0.01000 | elapsed 26.10s
iter 00035 | success 0.007 | cost 26.1 | energy 95.8 | actor_loss -0.06027 | energy_loss 521.81918 | reach_loss 75369.32412 | entropy 4.2568 | gamma_reach 0.999045 | ent_coef 0.01000 | elapsed 26.27s
iter 00036 | success 0.006 | cost 17.1 | energy 77.3 | actor_loss -0.05861 | energy_loss 533.29367 | reach_loss 71929.17070 | entropy 4.2568 | gamma_reach 0.999046 | ent_coef 0.01000 | elapsed 25.68s
iter 00037 | success 0.009 | cost 47.9 | energy 140.2 | actor_loss -0.06438 | energy_loss 575.66344 | reach_loss 73617.14375 | entropy 4.2568 | gamma_reach 0.999048 | ent_coef 0.01000 | elapsed 24.69s
iter 00038 | success 0.011 | cost 61.7 | energy 172.3 | actor_loss -0.06145 | energy_loss 589.75094 | reach_loss 71467.75400 | entropy 4.2568 | gamma_reach 0.999049 | ent_coef 0.01000 | elapsed 23.46s
iter 00039 | success 0.011 | cost 52.9 | energy 130.2 | actor_loss -0.06355 | energy_loss 675.54692 | reach_loss 72235.36582 | entropy 4.2568 | gamma_reach 0.999050 | ent_coef 0.01000 | elapsed 23.21s
iter 00040 | success 0.011 | cost 49.2 | energy 143.5 | actor_loss -0.06192 | energy_loss 643.43202 | reach_loss 69355.58018 | entropy 4.2568 | gamma_reach 0.999051 | ent_coef 0.01000 | elapsed 24.27s
iter 00041 | success 0.010 | cost 43.9 | energy 95.2 | actor_loss -0.06002 | energy_loss 562.09882 | reach_loss 70278.28584 | entropy 4.2568 | gamma_reach 0.999053 | ent_coef 0.01000 | elapsed 23.89s
iter 00042 | success 0.009 | cost 59.4 | energy 145.2 | actor_loss -0.06207 | energy_loss 625.33190 | reach_loss 67848.86006 | entropy 4.2568 | gamma_reach 0.999054 | ent_coef 0.01000 | elapsed 24.66s
iter 00043 | success 0.008 | cost 51.0 | energy 148.7 | actor_loss -0.06264 | energy_loss 503.06082 | reach_loss 69355.59775 | entropy 4.2568 | gamma_reach 0.999055 | ent_coef 0.01000 | elapsed 24.38s
iter 00044 | success 0.008 | cost 23.7 | energy 83.6 | actor_loss -0.06296 | energy_loss 437.04677 | reach_loss 66979.94082 | entropy 4.2568 | gamma_reach 0.999057 | ent_coef 0.01000 | elapsed 24.47s
iter 00045 | success 0.009 | cost 57.9 | energy 133.8 | actor_loss -0.06258 | energy_loss 485.92724 | reach_loss 67401.22373 | entropy 4.2568 | gamma_reach 0.999058 | ent_coef 0.01000 | elapsed 23.44s
iter 00046 | success 0.009 | cost 25.6 | energy 72.3 | actor_loss -0.06273 | energy_loss 504.16273 | reach_loss 67190.20088 | entropy 4.2568 | gamma_reach 0.999059 | ent_coef 0.01000 | elapsed 24.02s
iter 00047 | success 0.010 | cost 32.8 | energy 108.2 | actor_loss -0.06051 | energy_loss 525.90102 | reach_loss 66171.47090 | entropy 4.2568 | gamma_reach 0.999061 | ent_coef 0.01000 | elapsed 24.49s
iter 00048 | success 0.007 | cost 23.9 | energy 68.2 | actor_loss -0.06140 | energy_loss 515.55204 | reach_loss 67062.26025 | entropy 4.2568 | gamma_reach 0.999062 | ent_coef 0.01000 | elapsed 24.22s
iter 00049 | success 0.010 | cost 37.6 | energy 116.3 | actor_loss -0.06306 | energy_loss 586.26883 | reach_loss 68549.58809 | entropy 4.2568 | gamma_reach 0.999063 | ent_coef 0.01000 | elapsed 24.33s
iter 00050 | success 0.008 | cost 20.5 | energy 55.7 | actor_loss -0.06093 | energy_loss 619.28773 | reach_loss 63446.42334 | entropy 4.2568 | gamma_reach 0.999065 | ent_coef 0.01000 | elapsed 24.23s
iter 00051 | success 0.010 | cost 47.9 | energy 161.7 | actor_loss -0.06133 | energy_loss 703.84039 | reach_loss 65870.80371 | entropy 4.2568 | gamma_reach 0.999066 | ent_coef 0.01000 | elapsed 24.07s
iter 00052 | success 0.007 | cost 33.9 | energy 125.0 | actor_loss -0.05859 | energy_loss 599.67494 | reach_loss 64850.10117 | entropy 4.2568 | gamma_reach 0.999067 | ent_coef 0.01000 | elapsed 24.21s
iter 00053 | success 0.007 | cost 47.2 | energy 141.2 | actor_loss -0.06170 | energy_loss 734.86546 | reach_loss 63402.34878 | entropy 4.2568 | gamma_reach 0.999069 | ent_coef 0.01000 | elapsed 24.45s
iter 00054 | success 0.007 | cost 37.2 | energy 116.1 | actor_loss -0.06171 | energy_loss 706.37742 | reach_loss 63748.46860 | entropy 4.2568 | gamma_reach 0.999070 | ent_coef 0.01000 | elapsed 24.47s
iter 00055 | success 0.011 | cost 44.5 | energy 121.7 | actor_loss -0.06149 | energy_loss 837.22612 | reach_loss 63453.04561 | entropy 4.2568 | gamma_reach 0.999071 | ent_coef 0.01000 | elapsed 24.46s
iter 00056 | success 0.008 | cost 42.4 | energy 106.3 | actor_loss -0.06066 | energy_loss 747.81942 | reach_loss 61460.56328 | entropy 4.2568 | gamma_reach 0.999073 | ent_coef 0.01000 | elapsed 24.37s
iter 00057 | success 0.012 | cost 47.1 | energy 147.4 | actor_loss -0.06175 | energy_loss 938.98829 | reach_loss 63931.91313 | entropy 4.2568 | gamma_reach 0.999074 | ent_coef 0.01000 | elapsed 24.24s
iter 00058 | success 0.009 | cost 52.2 | energy 134.9 | actor_loss -0.06129 | energy_loss 899.92632 | reach_loss 62447.81846 | entropy 4.2568 | gamma_reach 0.999075 | ent_coef 0.01000 | elapsed 25.00s
iter 00059 | success 0.009 | cost 35.5 | energy 128.7 | actor_loss -0.06157 | energy_loss 980.03287 | reach_loss 60465.29326 | entropy 4.2568 | gamma_reach 0.999077 | ent_coef 0.01000 | elapsed 24.65s
iter 00060 | success 0.013 | cost 58.4 | energy 167.2 | actor_loss -0.06244 | energy_loss 1195.40035 | reach_loss 62475.06372 | entropy 4.2568 | gamma_reach 0.999078 | ent_coef 0.01000 | elapsed 24.95s
iter 00061 | success 0.011 | cost 61.0 | energy 157.2 | actor_loss -0.05994 | energy_loss 1162.71948 | reach_loss 59992.39087 | entropy 4.2568 | gamma_reach 0.999079 | ent_coef 0.01000 | elapsed 25.09s
iter 00062 | success 0.014 | cost 56.5 | energy 165.8 | actor_loss -0.06163 | energy_loss 1346.77254 | reach_loss 59657.66333 | entropy 4.2568 | gamma_reach 0.999081 | ent_coef 0.01000 | elapsed 24.96s
iter 00063 | success 0.012 | cost 86.7 | energy 220.7 | actor_loss -0.05997 | energy_loss 1440.88156 | reach_loss 58345.86768 | entropy 4.2568 | gamma_reach 0.999082 | ent_coef 0.01000 | elapsed 24.90s
iter 00064 | success 0.015 | cost 70.9 | energy 174.9 | actor_loss -0.06293 | energy_loss 1468.75773 | reach_loss 58173.71953 | entropy 4.2568 | gamma_reach 0.999083 | ent_coef 0.01000 | elapsed 25.10s
iter 00065 | success 0.014 | cost 67.6 | energy 194.5 | actor_loss -0.06263 | energy_loss 1543.75032 | reach_loss 59391.09888 | entropy 4.2568 | gamma_reach 0.999084 | ent_coef 0.01000 | elapsed 25.07s
iter 00066 | success 0.015 | cost 77.5 | energy 196.2 | actor_loss -0.06232 | energy_loss 1575.05548 | reach_loss 58301.40015 | entropy 4.2568 | gamma_reach 0.999086 | ent_coef 0.01000 | elapsed 24.86s
iter 00067 | success 0.012 | cost 57.7 | energy 154.0 | actor_loss -0.06111 | energy_loss 1571.41466 | reach_loss 58583.32153 | entropy 4.2568 | gamma_reach 0.999087 | ent_coef 0.01000 | elapsed 25.06s
iter 00068 | success 0.011 | cost 43.6 | energy 143.1 | actor_loss -0.06344 | energy_loss 1299.43629 | reach_loss 57387.15723 | entropy 4.2568 | gamma_reach 0.999088 | ent_coef 0.01000 | elapsed 25.01s
iter 00069 | success 0.008 | cost 26.5 | energy 107.9 | actor_loss -0.06283 | energy_loss 1170.36307 | reach_loss 56983.21099 | entropy 4.2568 | gamma_reach 0.999090 | ent_coef 0.01000 | elapsed 25.00s
iter 00070 | success 0.007 | cost 36.6 | energy 118.9 | actor_loss -0.06221 | energy_loss 1021.42509 | reach_loss 57356.47139 | entropy 4.2568 | gamma_reach 0.999091 | ent_coef 0.01000 | elapsed 25.05s
iter 00071 | success 0.010 | cost 52.2 | energy 141.4 | actor_loss -0.06372 | energy_loss 876.89063 | reach_loss 58534.66328 | entropy 4.2568 | gamma_reach 0.999092 | ent_coef 0.01000 | elapsed 25.68s
iter 00072 | success 0.008 | cost 18.7 | energy 94.4 | actor_loss -0.06223 | energy_loss 736.04002 | reach_loss 57951.93394 | entropy 4.2568 | gamma_reach 0.999094 | ent_coef 0.01000 | elapsed 25.72s
iter 00073 | success 0.006 | cost 9.4 | energy 26.6 | actor_loss -0.06336 | energy_loss 877.49179 | reach_loss 56246.70576 | entropy 4.2568 | gamma_reach 0.999095 | ent_coef 0.01000 | elapsed 26.51s
iter 00074 | success 0.009 | cost 22.6 | energy 55.1 | actor_loss -0.06047 | energy_loss 872.89202 | reach_loss 55769.86636 | entropy 4.2568 | gamma_reach 0.999096 | ent_coef 0.01000 | elapsed 26.71s
iter 00075 | success 0.010 | cost 27.6 | energy 76.5 | actor_loss -0.06010 | energy_loss 1052.76340 | reach_loss 54794.31157 | entropy 4.2568 | gamma_reach 0.999098 | ent_coef 0.01000 | elapsed 26.98s
iter 00076 | success 0.009 | cost 29.6 | energy 73.4 | actor_loss -0.05835 | energy_loss 939.45605 | reach_loss 55221.62441 | entropy 4.2568 | gamma_reach 0.999099 | ent_coef 0.01000 | elapsed 24.93s
iter 00077 | success 0.008 | cost 36.0 | energy 82.9 | actor_loss -0.06495 | energy_loss 951.75732 | reach_loss 54440.54678 | entropy 4.2568 | gamma_reach 0.999100 | ent_coef 0.01000 | elapsed 25.06s
iter 00078 | success 0.006 | cost 13.8 | energy 55.7 | actor_loss -0.06270 | energy_loss 1005.27043 | reach_loss 54340.51592 | entropy 4.2568 | gamma_reach 0.999102 | ent_coef 0.01000 | elapsed 24.95s
iter 00079 | success 0.008 | cost 25.1 | energy 83.5 | actor_loss -0.06111 | energy_loss 967.31203 | reach_loss 53840.52134 | entropy 4.2568 | gamma_reach 0.999103 | ent_coef 0.01000 | elapsed 25.02s
iter 00080 | success 0.008 | cost 38.1 | energy 116.7 | actor_loss -0.06398 | energy_loss 1119.88749 | reach_loss 54487.14834 | entropy 4.2568 | gamma_reach 0.999104 | ent_coef 0.01000 | elapsed 24.46s
iter 00081 | success 0.008 | cost 35.0 | energy 101.1 | actor_loss -0.05882 | energy_loss 1146.44863 | reach_loss 49156.84824 | entropy 4.2568 | gamma_reach 0.999106 | ent_coef 0.01000 | elapsed 24.64s
iter 00082 | success 0.009 | cost 33.2 | energy 95.4 | actor_loss -0.06385 | energy_loss 1052.14359 | reach_loss 52528.13818 | entropy 4.2568 | gamma_reach 0.999107 | ent_coef 0.01000 | elapsed 24.57s
iter 00083 | success 0.009 | cost 37.8 | energy 113.4 | actor_loss -0.06127 | energy_loss 973.75076 | reach_loss 52433.81533 | entropy 4.2568 | gamma_reach 0.999108 | ent_coef 0.01000 | elapsed 24.72s
iter 00084 | success 0.008 | cost 27.2 | energy 97.2 | actor_loss -0.06448 | energy_loss 1053.32690 | reach_loss 51260.83872 | entropy 4.2568 | gamma_reach 0.999110 | ent_coef 0.01000 | elapsed 24.84s
iter 00085 | success 0.005 | cost 18.5 | energy 43.0 | actor_loss -0.06371 | energy_loss 1170.06033 | reach_loss 49082.66128 | entropy 4.2568 | gamma_reach 0.999111 | ent_coef 0.01000 | elapsed 24.85s
iter 00086 | success 0.006 | cost 21.8 | energy 94.4 | actor_loss -0.06236 | energy_loss 1117.80353 | reach_loss 50224.58994 | entropy 4.2568 | gamma_reach 0.999112 | ent_coef 0.01000 | elapsed 24.64s
iter 00087 | success 0.006 | cost 43.6 | energy 110.5 | actor_loss -0.06385 | energy_loss 1176.33630 | reach_loss 50656.34502 | entropy 4.2568 | gamma_reach 0.999114 | ent_coef 0.01000 | elapsed 24.98s
iter 00088 | success 0.008 | cost 20.4 | energy 90.9 | actor_loss -0.06285 | energy_loss 1261.04363 | reach_loss 50187.04634 | entropy 4.2568 | gamma_reach 0.999115 | ent_coef 0.01000 | elapsed 25.03s
iter 00089 | success 0.009 | cost 38.0 | energy 66.4 | actor_loss -0.06215 | energy_loss 1405.25025 | reach_loss 48797.16284 | entropy 4.2568 | gamma_reach 0.999116 | ent_coef 0.01000 | elapsed 24.99s
iter 00090 | success 0.007 | cost 37.3 | energy 139.1 | actor_loss -0.06477 | energy_loss 1450.11218 | reach_loss 49678.83960 | entropy 4.2568 | gamma_reach 0.999117 | ent_coef 0.01000 | elapsed 24.61s
iter 00091 | success 0.010 | cost 39.6 | energy 109.6 | actor_loss -0.06447 | energy_loss 1392.71516 | reach_loss 49120.61660 | entropy 4.2568 | gamma_reach 0.999119 | ent_coef 0.01000 | elapsed 24.97s
iter 00092 | success 0.006 | cost 32.6 | energy 85.1 | actor_loss -0.06376 | energy_loss 1121.60540 | reach_loss 46608.59609 | entropy 4.2568 | gamma_reach 0.999120 | ent_coef 0.01000 | elapsed 25.07s
iter 00093 | success 0.010 | cost 22.3 | energy 83.5 | actor_loss -0.06575 | energy_loss 1264.36151 | reach_loss 48693.12617 | entropy 4.2568 | gamma_reach 0.999121 | ent_coef 0.01000 | elapsed 24.95s
iter 00094 | success 0.006 | cost 27.6 | energy 152.3 | actor_loss -0.06581 | energy_loss 1240.84829 | reach_loss 48581.82202 | entropy 4.2568 | gamma_reach 0.999123 | ent_coef 0.01000 | elapsed 24.80s
iter 00095 | success 0.005 | cost 8.0 | energy 34.4 | actor_loss -0.06375 | energy_loss 1152.31465 | reach_loss 47370.59585 | entropy 4.2568 | gamma_reach 0.999124 | ent_coef 0.01000 | elapsed 24.99s
iter 00096 | success 0.011 | cost 35.3 | energy 111.4 | actor_loss -0.06292 | energy_loss 1230.33073 | reach_loss 46361.29990 | entropy 4.2568 | gamma_reach 0.999125 | ent_coef 0.01000 | elapsed 24.86s
iter 00097 | success 0.008 | cost 16.8 | energy 54.7 | actor_loss -0.06512 | energy_loss 1094.99425 | reach_loss 47040.51631 | entropy 4.2568 | gamma_reach 0.999127 | ent_coef 0.01000 | elapsed 24.47s
iter 00098 | success 0.009 | cost 15.7 | energy 67.5 | actor_loss -0.06404 | energy_loss 933.11095 | reach_loss 46054.02217 | entropy 4.2568 | gamma_reach 0.999128 | ent_coef 0.01000 | elapsed 24.37s
iter 00099 | success 0.009 | cost 31.8 | energy 82.4 | actor_loss -0.06579 | energy_loss 1031.52009 | reach_loss 46440.31973 | entropy 4.2568 | gamma_reach 0.999129 | ent_coef 0.01000 | elapsed 25.01s
iter 00100 | success 0.006 | cost 34.1 | energy 147.3 | actor_loss -0.06594 | energy_loss 1248.87221 | reach_loss 46482.42251 | entropy 4.2568 | gamma_reach 0.999131 | ent_coef 0.01000 | elapsed 25.04s
iter 00101 | success 0.008 | cost 18.4 | energy 81.1 | actor_loss -0.06537 | energy_loss 1343.14823 | reach_loss 44601.24307 | entropy 4.2568 | gamma_reach 0.999132 | ent_coef 0.01000 | elapsed 24.97s
iter 00102 | success 0.006 | cost 9.1 | energy 47.4 | actor_loss -0.06624 | energy_loss 1147.94261 | reach_loss 44078.44673 | entropy 4.2568 | gamma_reach 0.999133 | ent_coef 0.01000 | elapsed 24.96s
iter 00103 | success 0.007 | cost 18.8 | energy 72.5 | actor_loss -0.06537 | energy_loss 1124.27395 | reach_loss 43807.26821 | entropy 4.2568 | gamma_reach 0.999135 | ent_coef 0.01000 | elapsed 25.04s
iter 00104 | success 0.005 | cost 7.5 | energy 25.6 | actor_loss -0.06743 | energy_loss 1132.52773 | reach_loss 44627.45586 | entropy 4.2568 | gamma_reach 0.999136 | ent_coef 0.01000 | elapsed 25.03s
iter 00105 | success 0.008 | cost 19.5 | energy 93.2 | actor_loss -0.06572 | energy_loss 1111.61413 | reach_loss 42487.15405 | entropy 4.2568 | gamma_reach 0.999137 | ent_coef 0.01000 | elapsed 24.88s
iter 00106 | success 0.008 | cost 16.9 | energy 38.8 | actor_loss -0.06528 | energy_loss 1154.07975 | reach_loss 42509.12856 | entropy 4.2568 | gamma_reach 0.999139 | ent_coef 0.01000 | elapsed 24.87s
iter 00107 | success 0.010 | cost 35.5 | energy 103.6 | actor_loss -0.06652 | energy_loss 1172.42421 | reach_loss 42382.70928 | entropy 4.2568 | gamma_reach 0.999140 | ent_coef 0.01000 | elapsed 24.94s
iter 00108 | success 0.008 | cost 42.0 | energy 130.2 | actor_loss -0.06498 | energy_loss 1311.51963 | reach_loss 41326.64883 | entropy 4.2568 | gamma_reach 0.999141 | ent_coef 0.01000 | elapsed 25.03s
iter 00109 | success 0.008 | cost 39.7 | energy 116.8 | actor_loss -0.06723 | energy_loss 1254.66857 | reach_loss 42939.94224 | entropy 4.2568 | gamma_reach 0.999143 | ent_coef 0.01000 | elapsed 24.87s
iter 00110 | success 0.008 | cost 35.3 | energy 113.8 | actor_loss -0.06855 | energy_loss 1263.92333 | reach_loss 42848.75215 | entropy 4.2568 | gamma_reach 0.999144 | ent_coef 0.01000 | elapsed 24.91s
iter 00111 | success 0.008 | cost 28.2 | energy 97.0 | actor_loss -0.06487 | energy_loss 1454.28304 | reach_loss 41193.58530 | entropy 4.2568 | gamma_reach 0.999145 | ent_coef 0.01000 | elapsed 24.79s
iter 00112 | success 0.010 | cost 35.1 | energy 85.6 | actor_loss -0.06619 | energy_loss 1284.47463 | reach_loss 41576.78496 | entropy 4.2568 | gamma_reach 0.999147 | ent_coef 0.01000 | elapsed 25.49s
iter 00113 | success 0.009 | cost 21.3 | energy 60.9 | actor_loss -0.06596 | energy_loss 1178.85671 | reach_loss 39301.66826 | entropy 4.2568 | gamma_reach 0.999148 | ent_coef 0.01000 | elapsed 25.25s
iter 00114 | success 0.006 | cost 39.3 | energy 140.0 | actor_loss -0.06399 | energy_loss 1161.48636 | reach_loss 39362.90029 | entropy 4.2568 | gamma_reach 0.999149 | ent_coef 0.01000 | elapsed 25.10s
iter 00115 | success 0.006 | cost 36.6 | energy 133.8 | actor_loss -0.06838 | energy_loss 1093.21908 | reach_loss 41191.58843 | entropy 4.2568 | gamma_reach 0.999150 | ent_coef 0.01000 | elapsed 26.02s
iter 00116 | success 0.006 | cost 21.7 | energy 66.7 | actor_loss -0.06699 | energy_loss 1210.44650 | reach_loss 39790.87656 | entropy 4.2568 | gamma_reach 0.999152 | ent_coef 0.01000 | elapsed 26.30s
iter 00117 | success 0.006 | cost 34.6 | energy 105.4 | actor_loss -0.06686 | energy_loss 1061.50196 | reach_loss 40181.93179 | entropy 4.2568 | gamma_reach 0.999153 | ent_coef 0.01000 | elapsed 26.43s
iter 00118 | success 0.007 | cost 11.4 | energy 50.3 | actor_loss -0.06691 | energy_loss 1062.18927 | reach_loss 40272.19019 | entropy 4.2568 | gamma_reach 0.999154 | ent_coef 0.01000 | elapsed 27.42s
iter 00119 | success 0.009 | cost 38.2 | energy 73.5 | actor_loss -0.06851 | energy_loss 1031.82867 | reach_loss 40178.60386 | entropy 4.2568 | gamma_reach 0.999156 | ent_coef 0.01000 | elapsed 27.45s
iter 00120 | success 0.006 | cost 43.6 | energy 125.3 | actor_loss -0.06811 | energy_loss 1194.32117 | reach_loss 38965.38584 | entropy 4.2568 | gamma_reach 0.999157 | ent_coef 0.01000 | elapsed 27.29s
iter 00121 | success 0.011 | cost 37.0 | energy 111.2 | actor_loss -0.06885 | energy_loss 1299.84022 | reach_loss 38933.57075 | entropy 4.2568 | gamma_reach 0.999158 | ent_coef 0.01000 | elapsed 25.92s
iter 00122 | success 0.008 | cost 60.1 | energy 177.2 | actor_loss -0.06716 | energy_loss 1196.57160 | reach_loss 40052.22178 | entropy 4.2568 | gamma_reach 0.999160 | ent_coef 0.01000 | elapsed 25.70s
iter 00123 | success 0.010 | cost 43.7 | energy 170.6 | actor_loss -0.06573 | energy_loss 1456.73789 | reach_loss 37382.41631 | entropy 4.2568 | gamma_reach 0.999161 | ent_coef 0.01000 | elapsed 25.98s
