iter 00001 | success 0.008 | cost 24.9 | energy 70.7 | actor_loss -0.01872 | energy_loss 372.84265 | reach_loss 83250.88057 | entropy 4.2568 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 25.50s
iter 00002 | success 0.008 | cost 22.0 | energy 48.4 | actor_loss -0.07143 | energy_loss 384.06946 | reach_loss 84478.25342 | entropy 4.2568 | gamma_reach 0.999001 | ent_coef 0.01000 | elapsed 27.36s
iter 00003 | success 0.009 | cost 21.8 | energy 31.5 | actor_loss -0.09325 | energy_loss 353.88613 | reach_loss 84937.72979 | entropy 4.2568 | gamma_reach 0.999003 | ent_coef 0.01000 | elapsed 26.31s
iter 00004 | success 0.007 | cost 11.7 | energy 27.5 | actor_loss -0.10233 | energy_loss 352.31969 | reach_loss 84109.78721 | entropy 4.2568 | gamma_reach 0.999004 | ent_coef 0.01000 | elapsed 26.44s
iter 00005 | success 0.009 | cost 32.2 | energy 73.4 | actor_loss -0.10521 | energy_loss 343.18159 | reach_loss 84584.33662 | entropy 4.2568 | gamma_reach 0.999005 | ent_coef 0.01000 | elapsed 27.17s
iter 00006 | success 0.009 | cost 22.4 | energy 54.0 | actor_loss -0.10004 | energy_loss 331.58822 | reach_loss 82263.53447 | entropy 4.2568 | gamma_reach 0.999007 | ent_coef 0.01000 | elapsed 27.16s
iter 00007 | success 0.007 | cost 38.6 | energy 126.5 | actor_loss -0.09602 | energy_loss 317.80804 | reach_loss 81858.34639 | entropy 4.2568 | gamma_reach 0.999008 | ent_coef 0.01000 | elapsed 25.95s
iter 00008 | success 0.011 | cost 52.7 | energy 144.7 | actor_loss -0.09086 | energy_loss 310.99242 | reach_loss 82997.93838 | entropy 4.2568 | gamma_reach 0.999009 | ent_coef 0.01000 | elapsed 24.87s
iter 00009 | success 0.011 | cost 47.5 | energy 135.2 | actor_loss -0.08833 | energy_loss 315.23199 | reach_loss 82595.69521 | entropy 4.2568 | gamma_reach 0.999011 | ent_coef 0.01000 | elapsed 25.59s
iter 00010 | success 0.010 | cost 71.6 | energy 162.4 | actor_loss -0.08490 | energy_loss 316.51131 | reach_loss 82464.07646 | entropy 4.2568 | gamma_reach 0.999012 | ent_coef 0.01000 | elapsed 26.28s
iter 00011 | success 0.012 | cost 74.4 | energy 190.7 | actor_loss -0.08158 | energy_loss 300.19785 | reach_loss 82051.81006 | entropy 4.2568 | gamma_reach 0.999013 | ent_coef 0.01000 | elapsed 26.37s
iter 00012 | success 0.015 | cost 59.5 | energy 179.6 | actor_loss -0.08285 | energy_loss 320.57614 | reach_loss 83300.60889 | entropy 4.2568 | gamma_reach 0.999015 | ent_coef 0.01000 | elapsed 26.28s
iter 00013 | success 0.010 | cost 25.7 | energy 106.8 | actor_loss -0.07928 | energy_loss 318.01410 | reach_loss 81683.35918 | entropy 4.2568 | gamma_reach 0.999016 | ent_coef 0.01000 | elapsed 25.53s
iter 00014 | success 0.010 | cost 55.4 | energy 172.3 | actor_loss -0.08077 | energy_loss 296.94778 | reach_loss 79962.24336 | entropy 4.2568 | gamma_reach 0.999017 | ent_coef 0.01000 | elapsed 25.88s
iter 00015 | success 0.014 | cost 50.9 | energy 125.1 | actor_loss -0.08350 | energy_loss 296.15407 | reach_loss 82618.51768 | entropy 4.2568 | gamma_reach 0.999018 | ent_coef 0.01000 | elapsed 26.67s
